video_id,category_id,country,channel_id,channel_title,logged_at_initial,view_count_initial,like_count_initial,comment_count_initial,c_view_count_initial,c_subscriber_count_initial,logged_at_final,view_count_final,like_count_final,comment_count_final,c_view_count_final,c_subscriber_count_final,published_year,published_month,published_day_of_week,published_time,view_count_difference,like_count_difference,avg_view_diff_per_category,avg_likes_diff_per_category,comment_count_difference,avg_comment_diff_per_category,subscriber_count_difference,engagement_score,channel_authority
FPSHXv1Iv3s,22.0,IN,UCpKDg5aOsMYn5kWxe7YGdSA,Hansika Krishna,2025-07-24 20:19:07,5807.0,510.0,17.0,281776267.0,859000.0,2025-07-24 21:19:23,17541.0,1468.0,29.0,281874139.0,859000.0,2025,7,Thursday,19:55:53,11734.0,958.0,1481.1782945736434,110.73643410852713,12.0,4.093023255813954,0.0,0.0847110959604568,13.663525365110068
FxQAJfNYpQM,20.0,AU,UCzZ2MQ-b242jAx4FHCn-y2Q,PauseBracket,2025-07-24 20:19:07,0.0,0.0,0.0,1042183.0,1020.0,2025-07-24 21:19:23,0.0,0.0,0.0,1042183.0,1020.0,2025,7,Thursday,19:30:06,0.0,0.0,7633.540540540541,38.891891891891895,0.0,0.32432432432432434,0.0,0.0,6.928537818164665
Fykakfju_oI,22.0,IN,UCexFP-pcCY_WsKgqpSgNBBQ,Motivation & podcast,2025-07-24 20:19:07,214.0,2.0,0.0,38569145.0,43400.0,2025-07-24 21:19:23,687.0,22.0,0.0,38614515.0,43400.0,2025,7,Thursday,19:56:32,473.0,20.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,0.0,0.042283298097251586,10.6782377612977
fZ51yzIfUEM,26.0,US,UC0IXvMUUPeYNVGe88ieMDEg,Seventeen,2025-07-24 20:19:07,389.0,13.0,0.0,653409605.0,2670000.0,2025-07-24 21:19:23,1147.0,58.0,0.0,653439235.0,2670000.0,2025,7,Thursday,19:56:25,758.0,45.0,379.0,22.5,0.0,0.0,0.0,0.059366754617414245,14.797589404908198
g5uI3UkgXAE,22.0,unknown,UCKzwXWV2K4ECMq6qsPUO9sg,Average Cat Dad,2025-07-24 20:19:07,500.0,11.0,0.0,1959457.0,2560.0,2025-07-24 21:19:24,759.0,14.0,0.0,1959457.0,2560.0,2025,7,Thursday,19:37:50,259.0,3.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,0.0,0.011583011583011582,7.848153086199526
gDFqaWlc5_4,22.0,unknown,UCU7UivlAvONk1ZnYzyTAWIw,chandu funny vlog 3 ,2025-07-24 20:19:07,3503.0,116.0,0.0,48657075.0,181000.0,2025-07-24 21:19:24,5088.0,118.0,0.0,48657075.0,181000.0,2025,7,Thursday,19:42:50,1585.0,2.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,0.0,0.0012618296529968455,12.10625783509458
gE_ncE199nY,24.0,IN,UCK4i4js8tomiTh5Fm3QciLA,Punjabi Reels,2025-07-24 20:19:07,104.0,0.0,0.0,21503748.0,34500.0,2025-07-24 21:19:24,212.0,0.0,0.0,21550577.0,34500.0,2025,7,Thursday,19:21:00,108.0,0.0,1079.7575757575758,31.742424242424242,0.0,1.696969696969697,0.0,0.0,10.448743588106625
GGt-T6tZ0SE,25.0,PK,UCKF0x9LR0G7q8HfFPhohNog,RNN TV,2025-07-24 20:19:07,527.0,2.0,0.0,37223228.0,116000.0,2025-07-24 21:19:24,706.0,6.0,0.0,37223228.0,116000.0,2025,7,Thursday,19:20:46,179.0,4.0,502.8888888888889,22.11111111111111,0.0,1.1111111111111112,0.0,0.0223463687150838,11.661354090741
gN7BoZYw-RM,22.0,unknown,UCH6hrRlqiRM1P8eYhuoPZ5Q,Tigeyom Nom Itali,2025-07-24 20:19:07,4.0,0.0,0.0,1022.0,31.0,2025-07-24 21:19:24,4.0,0.0,0.0,1025.0,31.0,2025,7,Thursday,19:35:54,0.0,0.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,0.0,0.0,3.4657359027997265
GPhjhE6VC5U,22.0,unknown,UCrcHolNWt2Cm8uNVYRu0tCQ,AJAY BAM,2025-07-24 20:19:07,915.0,18.0,1.0,22551.0,288.0,2025-07-24 21:19:24,1208.0,25.0,2.0,22551.0,289.0,2025,7,Thursday,20:04:57,293.0,7.0,1481.1782945736434,110.73643410852713,1.0,4.093023255813954,1.0,0.05802047781569966,5.666426688112432
